path,baseline_candidate,match,source_set,module,current_lines,same_blob,normalized_added_lines,normalized_removed_lines,normalized_similarity,review_groups,classification,scope_note
ai/src/androidMain/kotlin/me/rerere/ai/provider/providers/vertex/JdkVertexRsaSha256Signer.kt,,new_basename,androidMain,ai,26,False,,,,R03,合理保留,已按对应责任组检查抽取边界；行数不是应删除行数，不代表 GUI 或全量行为验证。
ai/src/androidMain/kotlin/me/rerere/ai/util/FileEncoder.android.kt,,new_basename,androidMain,ai,238,False,,,,R02,合理保留,已按对应责任组检查抽取边界；行数不是应删除行数，不代表 GUI 或全量行为验证。
ai/src/androidMain/kotlin/me/rerere/ai/util/KeyRouletteFileLock.android.kt,,new_basename,androidMain,ai,5,False,,,,R05,合理保留,已按对应责任组检查抽取边界；行数不是应删除行数，不代表 GUI 或全量行为验证。
ai/src/androidMain/kotlin/me/rerere/ai/util/PersistentKeyRoulette.android.kt,,new_basename,androidMain,ai,17,False,,,,R05,合理保留,已按对应责任组检查抽取边界；行数不是应删除行数，不代表 GUI 或全量行为验证。
ai/src/commonMain/kotlin/me/rerere/ai/core/MessageRole.kt,ai/src/main/java/me/rerere/ai/core/MessageRole.kt,same_name_identical,commonMain,ai,19,True,0,0,1.0,,同名且字节相同,Git blob 相同；上游调用/平台接线仍可能改变。
ai/src/commonMain/kotlin/me/rerere/ai/core/Reasoning.kt,ai/src/main/java/me/rerere/ai/core/Reasoning.kt,same_name_identical,commonMain,ai,32,True,0,0,1.0,,同名且字节相同,Git blob 相同；上游调用/平台接线仍可能改变。
ai/src/commonMain/kotlin/me/rerere/ai/core/Tool.kt,ai/src/main/java/me/rerere/ai/core/Tool.kt,same_name_identical,commonMain,ai,29,True,0,0,1.0,,同名且字节相同,Git blob 相同；上游调用/平台接线仍可能改变。
ai/src/commonMain/kotlin/me/rerere/ai/core/Usage.kt,ai/src/main/java/me/rerere/ai/core/Usage.kt,same_name_identical,commonMain,ai,36,True,0,0,1.0,,同名且字节相同,Git blob 相同；上游调用/平台接线仍可能改变。
ai/src/commonMain/kotlin/me/rerere/ai/provider/Model.kt,ai/src/main/java/me/rerere/ai/provider/Model.kt,same_name_identical,commonMain,ai,60,True,0,0,1.0,,同名且字节相同,Git blob 相同；上游调用/平台接线仍可能改变。
ai/src/commonMain/kotlin/me/rerere/ai/provider/Provider.kt,ai/src/main/java/me/rerere/ai/provider/Provider.kt,same_name_identical,commonMain,ai,116,True,0,0,1.0,,同名且字节相同,Git blob 相同；上游调用/平台接线仍可能改变。
