审计ID,模块,业务域,变更类型,迁移前路径,迁移后路径,Git状态,新增行,删除行,规范化代码相似度,依赖替换/Import变化,Android行为审计,平台边界,序列化/数据库影响,静态证据,风险,建议,验证状态,人工结论
CMP-0001,.gitattributes,依赖与构建,原路径修改,.gitattributes,.gitattributes,M,8,0,40%,无可见 import 变化,共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 40%,project,无直接持久化标记,git=M; blob 69c925bb551c→f33d58aaab29; sha256 f356001e6f24→12ff6bcc909f,高,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待迁移前后行为验证,待审核
CMP-0002,.gitignore,依赖与构建,原路径修改,.gitignore,.gitignore,M,2,1,96%,无可见 import 变化,共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 96%,project,无直接持久化标记,git=M; blob d2e682a1f247→76476686e1bd; sha256 d9a3b592c064→2f7ace5fbcc0,中,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待人工确认静态结论,待审核
CMP-0003,.swiftpm-locks,通用业务,新增实现/资源,—,.swiftpm-locks/default/.gitignore,A,1,0,—,无可见 import 变化,共享实现发生变化；需用迁移前后同断言验证,project,无直接持久化标记,git=A; blob —→4849882c18e4; sha256 —→687490883508,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0004,.swiftpm-locks,依赖与构建,新增实现/资源,—,.swiftpm-locks/default/swiftImport/Package.resolved,A,122,0,—,无可见 import 变化,共享实现发生变化；需用迁移前后同断言验证,project,无直接持久化标记,git=A; blob —→21e0e6054cef; sha256 —→830ccae35c23,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0005,.swiftpm-locks,依赖与构建,新增实现/资源,—,.swiftpm-locks/default/swiftImport/Package.swift,A,26,0,—,imports: — → PackageDescription,共享实现发生变化；需用迁移前后同断言验证,project,无直接持久化标记,git=A; blob —→f2fe7457fb2e; sha256 —→3b8164280dda,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据；只有纯Swift库才通过接口+iosMain lateinit变量注入,待人工确认静态结论,待审核
CMP-0006,.swiftpm-locks,通用业务,新增实现/资源,—,.swiftpm-locks/default/swiftImport/Sources/KotlinMultiplatformLinkedPackage/KotlinMultiplatformLinkedPackage.m,A,0,0,—,无可见 import 变化,共享实现发生变化；需用迁移前后同断言验证,project,无直接持久化标记,git=A; blob —→e69de29bb2d1; sha256 —→—,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0007,.swiftpm-locks,通用业务,新增实现/资源,—,.swiftpm-locks/default/swiftImport/Sources/KotlinMultiplatformLinkedPackage/include/KotlinMultiplatformLinkedPackage.h,A,0,0,—,无可见 import 变化,共享实现发生变化；需用迁移前后同断言验证,project,无直接持久化标记,git=A; blob —→e69de29bb2d1; sha256 —→—,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0008,.swiftpm-locks,通用业务,新增实现/资源,—,.swiftpm-locks/default/swiftImport/Sources/KotlinMultiplatformLinkedPackage/include/module.modulemap,A,0,0,—,无可见 import 变化,共享实现发生变化；需用迁移前后同断言验证,project,无直接持久化标记,git=A; blob —→e69de29bb2d1; sha256 —→—,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0009,.swiftpm-locks,依赖与构建,新增实现/资源,—,.swiftpm-locks/default/swiftImport/subpackages/_composeApp/Package.swift,A,36,0,—,imports: — → PackageDescription,共享实现发生变化；需用迁移前后同断言验证,project,无直接持久化标记,git=A; blob —→df1c9e7012dd; sha256 —→f56677d12ebf,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据；只有纯Swift库才通过接口+iosMain lateinit变量注入,待人工确认静态结论,待审核
CMP-0010,.swiftpm-locks,通用业务,新增实现/资源,—,.swiftpm-locks/default/swiftImport/subpackages/_composeApp/Sources/_composeApp/_composeApp.m,A,0,0,—,无可见 import 变化,共享实现发生变化；需用迁移前后同断言验证,project,无直接持久化标记,git=A; blob —→e69de29bb2d1; sha256 —→—,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0011,.swiftpm-locks,通用业务,新增实现/资源,—,.swiftpm-locks/default/swiftImport/subpackages/_composeApp/Sources/_composeApp/include/_composeApp.h,A,0,0,—,无可见 import 变化,共享实现发生变化；需用迁移前后同断言验证,project,无直接持久化标记,git=A; blob —→e69de29bb2d1; sha256 —→—,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0012,.swiftpm-locks,通用业务,新增实现/资源,—,.swiftpm-locks/default/swiftImport/subpackages/_composeApp/Sources/_composeApp/include/module.modulemap,A,0,0,—,无可见 import 变化,共享实现发生变化；需用迁移前后同断言验证,project,无直接持久化标记,git=A; blob —→e69de29bb2d1; sha256 —→—,低,确认新增文件是必要平台实现/共享边界，并补迁移前后契约证据,待人工确认静态结论,待审核
CMP-0013,ai,依赖与构建,原路径修改,ai/build.gradle.kts,ai/build.gradle.kts,M,51,61,32%,imports: org.jetbrains.kotlin → org.jetbrains.kotlin,构建/资源层变化；通过产物、依赖图或资源 hash 验证,project,无直接持久化标记,git=M; blob 70ead75ce761→fe3bd48fb406; sha256 cc14e2205c5b→5860c5a9b325,高,逐段核对修改，剔除与CMP无关的格式化和产品行为变化,待迁移前后行为验证,待审核
CMP-0014,ai,AI Provider,移动并修改（Git 96%）,ai/src/test/java/me/rerere/ai/provider/providers/ClaudeProviderMessageTest.kt,ai/src/androidHostTest/kotlin/me/rerere/ai/provider/providers/ClaudeProviderMessageTest.kt,R096,2,11,98%,imports: okhttp3.OkHttpClient → —,共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 98%,androidHostTest,JSON/DTO,git=R096; blob d111e996f132→50e919817da0; sha256 1db407b1f963→ab4ea3403b1b,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
CMP-0015,ai,AI Provider,移动并修改（Git 95%）,ai/src/test/java/me/rerere/ai/provider/providers/ClaudeProviderPromptCacheTest.kt,ai/src/androidHostTest/kotlin/me/rerere/ai/provider/providers/ClaudeProviderPromptCacheTest.kt,R095,2,11,97%,imports: okhttp3.OkHttpClient → —,共享实现发生变化；需用迁移前后同断言验证；规范化代码相似度 97%,androidHostTest,JSON/DTO,git=R095; blob 49bb1e01c7de→f96e1a6c4e94; sha256 373e2bff3f96→02559d0de03b,中,以迁移前文件为基准，仅保留平台抽取和必要依赖适配,待人工确认静态结论,待审核
