id,decision,title,origin,reason,treatment,action,core_files,core_file_lines,new_basename_files,new_basename_lines,verification
E01,额外抽取,第二套聊天运行时,ChatService.kt + data/ai/GenerationHandler.kt,接口覆盖整套业务；非 Android 重新实现会话、分支、生成循环，未直接迁移原类。,ARCHITECTURAL_OPTIMIZATION / MANUAL_REDESIGN,按原 ChatService/GenerationHandler 收敛成一套 common 业务，只适配末端文件、资源、系统集成。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/service/ChatRuntime.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/service/SharedChatRuntime.kt",890,2,890,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E02,额外抽取,第二套图片生成运行时,ui/pages/imggen/ImgGenVM.kt + GenMediaRepository.kt,把 VM 的请求、分页、落盘拆成整套 runtime，并维护 Android/Shared 两份流程。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,保留 ImgGenVM 业务；文件与图像编解码使用 FileKit 或窄平台实现。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/service/ImageGenerationRuntime.kt
app/src/main/java/me/rerere/rikkahub/service/AndroidImageGenerationRuntime.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/service/SharedImageGenerationRuntime.kt",557,3,557,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E03,额外抽取,翻译运行时转发层,TranslatorVM.kt + GenerationHandler.translateText,SettingsStore 与翻译参数均可共用，三个 runtime 文件继续转发设置和同一个翻译主体。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,VM 保留直接 SettingsStore/共享原翻译方法依赖，Locale 在最窄处转换。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/service/TranslationRuntime.kt
app/src/main/java/me/rerere/rikkahub/service/AndroidTranslationRuntime.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/service/SharedTranslationRuntime.kt",82,3,82,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E04,额外抽取,MCP 业务接口和资源镜像模型,McpManager.kt + McpOAuthCoordinator.kt + MCP SDK resource types,McpManager/Coordinator 及 SDK 已进入 common，仍在外层镜像整套业务 API 与 SDK DTO。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,保留 OAuthCallbackSession、外部 URI、图片落盘边界；共同代码直接依赖原 Manager。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/ai/mcp/McpRuntime.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/ai/mcp/McpAuthorizationCoordinator.kt",81,2,81,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E05,额外抽取,统计 Repository/Queries 分层,ui/pages/stats/StatsVM.kt::loadStats,StatsVM 原本直接调用 DAO；新增 StatsRepository、StatsQueries、RoomStatsQueries 三层。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,迁移原 VM 和日期 API；DAO 已在 common，继续原直接调用。,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/repository/StatsRepository.kt,70,1,70,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E06,额外抽取,备份业务仓库与设置 Gateway,ui/pages/backup/BackupVM.kt,新增 BackupRepository、BackupSettingsGateway、SettingsStoreBackupSettingsGateway；包裹已有 common SettingsStore。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,保留原 VM 的设置、列表、备份后更新时间流程，撤掉纯转发设置 Gateway。,composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/repository/BackupRepository.kt,82,1,82,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E07,额外抽取,并行备份同步和归档编排,data/sync/S3Sync.kt + data/sync/webdav/WebDavSync.kt,旧 Android Sync 留存，同时新增 Shared Sync/Archive 路径，复制配置、归档、恢复和清理流程。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,迁移原 Sync；Ktor、文件系统和数据库文件路径做适配；保留确有复用的 ZIP I/O 工具。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/sync/BackupTransport.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/sync/SharedS3BackupTransport.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/sync/SharedWebDavBackupTransport.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/sync/BackupArchiveService.kt",435,4,435,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E08,额外抽取,本地备份导入业务服务,BackupVM.kt::restoreFromChatBox/restoreFromCherryStudio/exportToFile,以 LocalFileService 为名复制导入去重、助手设置更新和备份时间等业务，不只隔离 I/O。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,原导入业务保留单份，平台边界只处理文件读写和选取。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/repository/BackupLocalFileService.kt
app/src/main/java/me/rerere/rikkahub/data/repository/AndroidBackupLocalFileService.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/repository/FileKitBackupLocalFileService.kt",227,3,227,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E09,额外抽取,技能存储并行实现,data/files/SkillManager.kt + SkillPaths.kt + SkillMetadata.kt,原 SkillManager 仍留 Android；FileKitSkillStore 另写解析、保存、删除及设置清理，新增 Summary/File DTO。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,保留 SkillManager 方法、原路径规则及原子保存算法，仅替换 File/Context；原 staging 行为不是本次新增。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/files/SkillStore.kt
composeApp/src/commonMain/kotlin/me/rerere/rikkahub/data/files/FileKitSkillStore.kt
app/src/main/java/me/rerere/rikkahub/data/files/AndroidSkillStore.kt",331,3,331,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
E10,额外抽取,提示词预览运行时,AssistantPromptPage.kt 调用 TemplateTransformer,Android 走 TemplateTransformer；Common 另造 Korte renderer 和 time/date 上下文，已有语义分叉。,ARCHITECTURAL_OPTIMIZATION / REWRITEABLE,两端直接调用已共享的 TemplateTransformer，保留原预览参数。,"composeApp/src/commonMain/kotlin/me/rerere/rikkahub/ui/pages/assistant/detail/AssistantPromptPreviewRuntime.kt
app/src/main/java/me/rerere/rikkahub/ui/pages/assistant/detail/AndroidAssistantPromptPreviewRuntime.kt",76,2,76,源码/基线/调用点审计；未运行 Gradle、GUI 或真实模型请求。
